ixs_xme|GHAIALX0A0LG|1|3|
HlavSes|GINIS administrace (Ministr)|Vılsedky hledání dle zadaného filtru||GINIS administrace|GINIS Úkoly v.472.6|||Kuba Martin MUDr., Ministr||||||||||Vytvoøen,Pøidìlen,Pøevzat|neurèen|||
TiskSes|UMPO 12/2004|o Státním programu na podporu úspor energie a vyuití obnovitelnıch zdrojù energie pro rok 1999|20121031000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|16.12.1998|è.843/98 II/1/d)|Vláda|Spolu s MP, MZE a MMR\nd) poèínaje rokem 1999 pøedkládat vládì návrhy Státních programù na podporu úspor energie a vyuití obnovitelnıch zdrojù energie pro následující kalendáøní rok tak, aby byly v souladu se schválenou Energetickou politikou ÈR\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 6040\n----------------------------------------------------------||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|19981216000000|
TiskSes|UMPO 23/2004|Zpráva o spolupráci ústøedních orgánù státní správy s nestátními neziskovımi organizacemi, které sledují situaci v oblasti lidskıch práv|20120331000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Jirka Jiøí Ing., Námìstek ministra a VÚM|02000vir|Vedení sekce|31.05.1999|è.537/99 II/3|Vláda  (materiál è.630/99)|Sledovat a vyhodnocovat informace nestátních neziskovıch organizací o stavu lidskıch práv v ÈR a zjištìné údaje poskytovat zmocnìnci vlády pro lidská práva v souvislosti s pøípravou Zprávy o dodrování lidskıch práv v ÈR do 31. bøezna kadého roku.\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 6332\n----------------------------------------------------------\n\nNKT: 31.3.2009\nNKT: 31.3.2010\nNKT: 31.3.2011\nNKT: 31.3.2012||Kuba Martin MUDr.|Jirka Jiøí Ing.|Ministr|Námìstek ministra a VÚM|19990531000000|
TiskSes|UMPO 26/2004|Návrh na schválení Dohody mezi ÈR a Pákistánskou islámskou republikou o podpoøe a vzájemné ochranì investic podepsané dne 7. kvìtna 1999 v Praze|20120630000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Hovorka Milan Ing., Námìstek ministra 07000|07000sek|Vedení sekce|15.09.1999|è.955/99 IV/3|Vláda  (materiál è.1153/99)|Zabezpeèit provádìní Dohody po jejím vstupu v platnost.\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 6518\n----------------------------------------------------------||Kuba Martin MUDr.|Hovorka Milan Ing.|Ministr|Námìstek ministra 07000|19990915000000|
TiskSes|UMPO 39/2004|Hlavní oblasti (priority) státní dotaèní politiky vùèi nestátním neziskovım organizacím v roce 2001 a sjednocení nìkterıch jejích technicko-organizaèních pravidel|20120531000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Duben Jan Ing., Øeditel sekce 05000|05000sek|Vedení sekce|15.03.2000|è.260/2000 III/2a)|Vláda  (materiál è.271/00)|Spolupracovat s ministrem bez portfeje a pøedsedou Rady vlády pro nestátní neziskové organizace na zpracování a pøedloení vládì do 31. kvìtna kadého kalendáøního roku návrhu hlavních oblastí státní dotaèní politiky vùèi nestátním neziskovıch organizacím pro rok následující\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 6863\n----------------------------------------------------------||Kuba Martin MUDr.|Duben Jan Ing.|Ministr|Øeditel sekce 05000|20000315000000|
TiskSes|UMPO 51/2004|Návrh na realizaci závìrù Tøetí ministerské konference o ivotním prostøedí a zdraví|20120930000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|12.07.2000|è.706/2000 VI/4b)|Vláda  (materiál è.870/00)|Kadoroènì do 30. záøí informovat Radu pro zdraví a ivotní prostøedí o dosaenıch vısledcích pøi naplòování zásad, doporuèení a aktivit uvedenıch v Protokolu, Chartì a Deklaraci, a to spolu se zprávou o plnìní úkolù a aktivit vyplıvajících z Akèního plánu zdraví a ivotního prostøedí ÈR\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 7084\n---------------------------------------------------------\nUV è. 936/07 ze dne 22.8.2007\n-  bod VI/4b) nahrazuje textem, kterı zní: "kadoroènì do 30. záøí  informovat  Radu pro zdraví a ivotní prostøedí o dosaenıch vısledcích pøi naplòování zásad,   doporuèení a aktivit obsaenıch v Protokolu, Chartì a Deklaraci, a to souèasnì s informací o plnìní Dlouhodobého programu zlepšování zdravotního stavu obyvatelstva ÈR - Zdraví pro všechny v 21. století  a Akèního plánu zdraví a ivotního prostøedí Èeské republiky",-||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|20040413125800|
TiskSes|UMPO 66/2004|Zhodnocení tìby dolu Roná v lokalitì Dolní Roínka a další postup v této vìci|20141031000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Oèko Petr Ing. Ph.D., Øeditel sekce 08000|08000sek|Vedení sekce|08.11.2000|è.1107/2000 III/1.b)|Vláda  (materiál è.1347/00)|Jednat prostøednictvím agentury CzechInvest o monosti vstupu novıch investorù do prùmyslovıch zón mikroregionu Bystøice nad Pernštejnem\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 7256\n----------------------------------------------------------||Kuba Martin MUDr.|Oèko Petr Ing. Ph.D.|Ministr|Øeditel sekce 08000|20001108000000|
TiskSes|UMPO 70/2004|Návrh dlouhodobého programu zlepšování zdravotního stavu obyvatelstva ÈR - "Zdraví pro všechny v 21. století"|20120930000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Pazdera František Ing. CSc., Námìstek ministra 030|03000sek|Sekce koncepèní|30.10.2002|è.1046/2002 IV/2.b)|Vláda  (materiál è.1363/02)|Pøedloit MZDr vdy do 30. èervna kadého kalendáøního roku zprávu o plnìní dílèích úkolù a aktivit vyplıvajících z Programu za pøedchozí kalendáøní rok s tím, e první zpráva bude MZDr pøedlona do 30. èervna 2004\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 7335\n----------------------------------------------------------\nUV è. 936/07 ze dne 22.8.2007 mìní\nv usnesení vlády ze dne 30. øíjna 2002 è. 1046, k Dlouhodobému programu zlepšování zdravotního stavu obyvatelstva Èeské republiky - Zdraví pro všechny v 21. století, pùvodní text bodu IV/2b) nahrazuje textem, kterı zní: "pøedloit ministru zdravotnictví vdy do 30. záøí kalendáøního roku zprávu o plnìní cílù Dlouhodobého programu zlepšování zdravotního stavu obyvatelstva ÈR - Zdraví pro všechny v 21. století za pøedchozí kalendáøní rok, a to souèasnì se zprávou o postupu a stavu plnìní zásad, doporuèení a aktivit obsaenıch v Protokolu o vodì a zdraví, Chartì  o dopravì, ivotním prostøedí a zdraví a Deklaraci Tøetí ministerské konference o ivotním prostøedí a zdraví, Akèního plánu zdraví a ivotního prostøedí Èeské republiky a o plnìní Støednìdobého plánu na øešení problematiky HIV/AIDS v ÈR na léta 2008-2012||Kuba Martin MUDr.|Pazdera František Ing. CSc.|Ministr|Námìstek ministra 03000|20021030000000|
TiskSes|UMPO 132/2004|Prùbìná zpráva o plnìní závazkù Èeské republiky vyplıvajících z èlenství v Organizaci pro ekonomickou spolupráci a rozvoj (OECD)|20121228000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Tlapa Martin Ing. MBA, Námìstek ministra 06000|06000sek|Sekce evropské integrace|29.05.2002|è.553/2002 III/1|Vláda  (materiál è.680/02)|a) pokraèovat v aktivní spolupráci ÈR s OECD, vyuívat vısledky trvale probíhajícího mezivládní dialogu na pùdì OECD jako zdroje poznatkù a nejlepších politikách uplatòovanıch v èlenskıch státech OECD pro tvorbu pøíslušnıch politik vlády, k plnìní Programového prohlášení vlády a k realizaci vládních hospodáøsko-politickıch prioritb) vhodnımi formami aktivnì prosazovat hospodáøsko-politické zájmy a priority ÈR v OECDc) zajišovat soulad závazkù pøijímanıch ve vztahu k Evropské uni, k OECD, Svìtové obchodní organizaci i k dalším mezinárodním organizacím\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8035\n----------------------------------------------------------||Kuba Martin MUDr.|Tlapa Martin Ing. MBA|Ministr|Námìstek ministra 06000|20020529000000|
TiskSes|UMPO 161/2004|Návrh postupu pro zabezpeèení souladu mezinárodnì-právních závazkù Èeské republiky se závazky vyplıvajícími z jejího èlenství v Evropské unii|20111230000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Tlapa Martin Ing. MBA, Námìstek ministra 06000|06000sek|Sekce evropské integrace|08.01.2003|è.13/2003 VII/1|Vláda  (materiál è.1717/02)|Zabezpeèit soulad mezinárodních smluv, kterımi je Èeská republika vázána s právem Evropského spoleèenství, a to nejpodìji k datu 30. èervna 2004\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8328\n----------------------------------------------------------\n\nDalší KT: 30.4.2008\nDalší: KT: 31.10.2008\nNKT: 31.5.2009\nNKT: 30.9.2009\nNKT: 30.1.2010\nNKT: 30.6.2010\nNKT: 30.9.2010\nNKT: 31.12.2010\nNKT: 30.6.2011\nNKT: 30.12.2011||Kuba Martin MUDr.|Tlapa Martin Ing. MBA|Ministr|Námìstek ministra 06000|20030108000000|
TiskSes|UMPO 169/2004|Návrh usnesení vlády o zøízení Vìstníku pro orgány krajù a orgány obcí|20121231000000|Pøevzat|Kuba Martin MUDr., Ministr|10000sek|Ministerstvo prùmyslu a o|Danda Bedøich, Námìstek ministra|04000sek|Vedení sekce|29.01.2003|è.123/2003 III/1.b)|Vláda  (materiál è.57/03)|Pøedkládat MV k 31. lednu kadého kalendáøního roku seznam pøedpisù a smìrnic vydanıch v pùsobnosti MPO, tıkajících se èinnosti orgánù krajù a orgánù obcí pro uveøejnìní ve Vìstníku vlády pro orgány krajù a orgánù obcí, aktualizovanı k 31. prosinci pøedcházejícího kalendáøního roku\n\n----------------------------------------------------------\nPùvodní identifikace úkolu : 8370\n----------------------------------------------------------||Kuba Martin MUDr.|Danda Bedøich|Ministr|Námìstek ministra|20030129000000|
